Subject_ID,Group,Age_Stage,MWM_Acquisition_Latency_s,MWM_Probe_TargetTime_pct,ThreeChamber_SocialPreference_Index,NOR_Discrimination_Index,OpenField_CenterTime_s,Grooming_Bouts_Count,EEG_ThetaBeta_Ratio,EEG_Gamma_Power_Relative,EEG_Coherence_PFC_HPC,Conn_FrontoHippocampal_FC,Conn_DefaultLike_Modularity,Conn_SomatomotorAssociation_Coupling,Locomotor_Variability_SD,Group_Target,Future_Outcome_Category
M20,Control,Adult,23.3,39.9,0.70,0.48,28.3,7,1.64,1.00,0.57,0.50,0.33,0.44,0.44,Control,Stable
M21,Control,Adult,26.7,35.7,0.61,0.39,25.0,10,1.83,0.91,0.49,0.43,0.38,0.39,0.52,Control,Stable
M22,Control,Adult,29.8,33.0,0.56,0.32,22.8,13,2.00,0.86,0.44,0.39,0.41,0.35,0.59,Control,Variable
M23,Control,Adult,24.5,37.5,0.64,0.41,26.2,9,1.77,0.94,0.51,0.45,0.36,0.40,0.48,Control,Stable
M24,Control,Adult,31.1,32.1,0.54,0.29,21.6,14,2.06,0.84,0.42,0.37,0.42,0.34,0.62,Control,Variable
M25,ADHD,Juvenile,34.2,30.6,0.56,0.22,27.9,10,2.24,0.79,0.39,0.35,0.44,0.32,0.71,ADHD,Variable
M26,ADHD,Juvenile,28.9,35.1,0.62,0.34,24.8,12,1.96,0.88,0.45,0.41,0.39,0.36,0.60,ADHD,Stable
M27,ADHD,Juvenile,37.6,27.8,0.49,0.16,29.4,14,2.33,0.75,0.36,0.32,0.46,0.29,0.78,ADHD,Persistent
M28,ADHD,Juvenile,24.7,37.2,0.65,0.39,22.6,9,1.81,0.92,0.49,0.45,0.37,0.40,0.52,ADHD,Stable
M29,ADHD,Juvenile,31.5,32.3,0.58,0.25,26.8,11,2.16,0.82,0.41,0.37,0.43,0.33,0.68,ADHD,Variable
M30,ADHD,Juvenile,39.1,26.1,0.46,0.12,30.8,15,2.41,0.72,0.33,0.29,0.48,0.27,0.83,ADHD,Persistent
M31,ADHD,Adolescent,27.8,35.9,0.61,0.36,23.4,10,1.92,0.89,0.46,0.42,0.39,0.37,0.58,ADHD,Stable
M32,ADHD,Adolescent,35.6,29.4,0.53,0.19,28.5,13,2.27,0.78,0.38,0.34,0.45,0.31,0.74,ADHD,Variable
M33,ADHD,Adolescent,29.6,34.2,0.59,0.28,25.7,11,2.05,0.85,0.43,0.39,0.41,0.35,0.64,ADHD,Stable
M34,ADHD,Adolescent,40.3,25.4,0.44,0.10,31.5,16,2.48,0.70,0.31,0.27,0.49,0.25,0.87,ADHD,Persistent
M35,ADHD,Adolescent,26.1,36.5,0.66,0.40,22.2,8,1.79,0.93,0.50,0.46,0.36,0.41,0.50,ADHD,Stable
M36,ADHD,Adolescent,33.4,31.0,0.55,0.23,27.1,12,2.18,0.81,0.40,0.36,0.44,0.32,0.70,ADHD,Variable
M37,ADHD,Adult,30.1,33.7,0.57,0.27,25.6,11,2.10,0.84,0.42,0.38,0.42,0.34,0.66,ADHD,Stable
M38,ADHD,Adult,38.8,26.8,0.47,0.13,30.7,15,2.39,0.73,0.34,0.30,0.47,0.28,0.82,ADHD,Persistent
M39,ADHD,Adult,25.4,37.0,0.64,0.38,23.0,9,1.84,0.91,0.48,0.44,0.37,0.40,0.53,ADHD,Stable
M40,ADHD,Adult,34.7,30.2,0.54,0.20,28.2,13,2.25,0.79,0.39,0.35,0.45,0.31,0.73,ADHD,Variable
M41,ADHD,Adult,29.0,34.9,0.60,0.31,24.5,10,1.98,0.87,0.45,0.41,0.40,0.36,0.61,ADHD,Stable
M42,ADHD,Adult,41.2,24.7,0.42,0.08,32.1,17,2.52,0.68,0.29,0.25,0.50,0.24,0.90,ADHD,Persistent
M43,ADHD,Adult,27.2,36.1,0.63,0.35,22.9,8,1.88,0.90,0.47,0.43,0.38,0.39,0.56,ADHD,Stable
M44,ADHD,Adult,32.6,31.6,0.56,0.24,27.4,12,2.19,0.80,0.40,0.36,0.44,0.32,0.69,ADHD,Variable
M45,ADHD,Adult,36.9,28.2,0.50,0.15,29.8,14,2.31,0.76,0.36,0.32,0.46,0.29,0.79,ADHD,Persistent
M46,ADHD,Adult,24.9,37.8,0.67,0.41,22.0,7,1.76,0.95,0.51,0.47,0.35,0.42,0.49,ADHD,Stable
M47,ADHD,Adult,31.8,32.8,0.58,0.26,26.3,11,2.13,0.83,0.41,0.37,0.43,0.33,0.67,ADHD,Variable
M48,ADHD,Adult,39.7,25.8,0.45,0.11,31.0,16,2.46,0.71,0.32,0.28,0.49,0.26,0.86,ADHD,Persistent
