Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Rotarod_Latency_s,Novel_Object_Discrimination_Index,PPI_pct,Resting_Gamma_Power_uV2,Cortical_Connectivity_Index,Stimulus_Evoked_HbO_AU,Respiratory_Variability_Index,Pupillary_Dilation_pct,Future_Outcome_Category
FX026,Fmr1_KD,F,43,167,4467,14.4,0.39,70.4,0.47,36.3,16.7,0.47,0.81,0.34,18.2,Worsened
FX027,Fmr1_KD,M,44,187,5202,20.5,0.54,80.8,0.57,29.6,19.5,0.36,0.69,0.45,15.7,Improved
FX028,Fmr1_KD,F,46,176,4705,17.0,0.47,74.6,0.52,33.8,17.8,0.42,0.76,0.39,17.1,Stable
FX029,Fmr1_KD,M,45,190,4978,18.3,0.50,77.0,0.54,31.7,18.6,0.39,0.72,0.41,16.5,Stable
FX030,Fmr1_KD,F,47,178,4590,15.6,0.43,72.5,0.49,35.2,17.2,0.45,0.78,0.36,17.6,Stable
FX031,WT,M,45,186,5088,18.9,0.51,78.1,0.55,43.7,13.8,0.61,0.48,0.23,24.9,Improved
FX032,WT,F,44,173,4761,16.3,0.47,75.2,0.52,46.2,12.9,0.64,0.45,0.21,25.8,Stable
FX033,WT,M,46,192,5210,20.2,0.54,81.0,0.57,41.9,14.4,0.59,0.50,0.25,24.1,Improved
FX034,WT,F,43,169,4572,15.2,0.43,72.6,0.49,47.1,12.5,0.66,0.43,0.20,26.3,Stable
FX035,WT,M,47,198,4915,18.0,0.50,77.3,0.54,44.5,13.6,0.62,0.47,0.22,25.1,Stable
FX036,WT,F,45,175,4650,16.8,0.46,74.0,0.51,46.0,12.8,0.65,0.44,0.21,26.0,Stable
FX037,WT,M,44,187,5324,21.2,0.56,82.4,0.58,40.8,14.9,0.57,0.52,0.27,23.6,Improved
FX038,WT,F,46,177,4490,14.7,0.42,71.4,0.48,47.6,12.2,0.67,0.42,0.19,26.7,Stable
FX039,WT,M,45,189,5112,19.4,0.53,79.0,0.56,42.8,14.1,0.60,0.49,0.24,24.6,Improved
FX040,WT,F,47,179,4718,17.1,0.48,75.8,0.52,45.3,13.0,0.64,0.45,0.21,25.6,Stable
FX041,WT,M,43,184,4980,18.2,0.49,76.7,0.53,43.9,13.7,0.61,0.47,0.23,24.8,Stable
FX042,WT,F,44,171,4605,15.5,0.44,73.0,0.49,46.8,12.4,0.66,0.43,0.20,26.4,Stable
FX043,WT,M,46,194,5246,20.6,0.55,81.5,0.57,41.5,14.6,0.58,0.51,0.26,23.9,Improved
FX044,WT,F,45,174,4672,16.4,0.46,74.7,0.51,45.9,12.9,0.64,0.45,0.21,25.9,Stable
FX045,WT,M,47,199,4884,17.7,0.48,76.1,0.53,44.2,13.5,0.62,0.47,0.22,25.2,Stable
FX046,WT,F,43,168,4529,14.9,0.41,71.7,0.48,47.3,12.3,0.67,0.42,0.19,26.6,Worsened
FX047,WT,M,44,186,5176,20.0,0.54,79.9,0.56,42.1,14.2,0.59,0.49,0.25,24.3,Improved
FX048,WT,F,46,176,4695,16.9,0.47,74.4,0.51,46.1,12.7,0.65,0.44,0.21,26.1,Stable
FX049,WT,M,45,190,5034,18.6,0.51,77.6,0.54,43.3,13.9,0.60,0.48,0.23,24.7,Stable
FX050,WT,F,47,178,4619,15.8,0.45,72.9,0.50,46.7,12.6,0.66,0.43,0.20,26.2,Stable
FX051,WT,M,43,183,5290,21.1,0.56,82.0,0.58,41.0,14.8,0.57,0.52,0.27,23.5,Improved
FX052,WT,F,44,172,4661,16.1,0.46,74.2,0.51,45.6,12.8,0.64,0.45,0.21,25.7,Stable
FX053,WT,M,46,193,4922,18.1,0.49,76.9,0.54,44.0,13.6,0.61,0.47,0.22,25.0,Stable
FX054,WT,F,45,175,4544,15.3,0.43,72.2,0.49,47.0,12.4,0.66,0.43,0.20,26.5,Stable
FX055,WT,M,47,197,5140,19.8,0.53,79.5,0.56,42.4,14.3,0.59,0.50,0.25,24.4,Improved
FX056,WT,F,43,170,4598,15.7,0.44,73.4,0.50,46.5,12.5,0.65,0.44,0.20,26.1,Stable
FX057,WT,M,44,188,5060,18.8,0.51,78.3,0.55,43.5,13.8,0.60,0.48,0.23,24.8,Stable
FX058,WT,F,46,177,4687,16.6,0.47,74.9,0.52,45.8,12.9,0.64,0.45,0.21,25.8,Stable
FX059,WT,M,45,191,5205,20.3,0.55,80.7,0.57,41.8,14.5,0.58,0.51,0.26,24.0,Improved
FX060,WT,F,47,179,4626,15.9,0.45,73.1,0.50,46.9,12.6,0.66,0.43,0.20,26.3,Worsened
