Subject_ID,Group,Sex,Age_PND,Body_Weight_g,Social_Interaction_Index,Social_Novelty_Index,Ultrasonic_Call_Rate_per_min,OpenField_Distance_cm,YMaze_Alternation_pct,Novel_Object_Location_Index,PPI_pct,Plasma_Oxytocin_pg_mL,Resting_Theta_Power_uV2,Social_Evoked_HbO_AU,Cognitive_P300_Latency_ms,Pupillary_Dilation_pct,Future_Outcome_Category
RS019,Shank3B_Partial,M,46,192,0.34,0.37,18,5097,58.8,0.54,41.5,21.7,13.4,0.42,321,17.6,Worsened
RS020,Shank3B_Partial,F,43,167,0.46,0.48,27,4543,55.4,0.50,45.3,26.5,14.9,0.52,309,19.6,Improved
RS021,Shank3B_Partial,M,47,196,0.38,0.41,21,5160,57.7,0.52,43.1,23.1,14.1,0.46,316,18.3,Stable
RS022,Shank3B_Partial,F,44,171,0.44,0.46,24,4618,56.3,0.51,44.8,25.6,14.8,0.50,311,19.3,Stable
RS023,Shank3B_Partial,M,45,187,0.33,0.36,17,5222,59.0,0.55,41.1,21.2,13.2,0.41,323,17.3,Worsened
RS024,Shank3B_Partial,F,46,175,0.47,0.49,28,4487,55.2,0.50,45.9,26.8,15.0,0.52,308,19.7,Improved
RS025,Shank3B_Partial,M,44,181,0.37,0.40,20,5005,57.3,0.53,42.7,22.8,13.9,0.45,317,18.0,Stable
RS026,Shank3B_Partial,F,45,173,0.43,0.44,23,4694,56.0,0.51,44.2,24.8,14.5,0.48,313,18.7,Stable
RS027,Shank3B_Partial,M,46,190,0.35,0.38,19,5119,58.6,0.54,41.8,22.1,13.6,0.43,320,17.7,Worsened
RS028,Shank3B_Partial,F,43,168,0.45,0.47,26,4568,55.6,0.50,44.9,26.0,14.7,0.51,310,19.4,Stable
RS029,Shank3B_Partial,M,47,197,0.39,0.42,22,5174,57.8,0.52,43.3,23.5,14.2,0.46,315,18.4,Stable
RS030,Shank3B_Partial,F,44,170,0.41,0.43,24,4633,56.5,0.51,44.1,24.6,14.4,0.47,314,18.8,Stable
RS031,WT,M,44,184,0.60,0.62,34,4988,58.7,0.54,43.0,33.9,14.1,0.66,316,18.9,Improved
RS032,WT,F,45,172,0.66,0.67,39,4705,56.4,0.52,44.6,36.8,14.8,0.71,311,19.8,Stable
RS033,WT,M,46,190,0.58,0.60,31,5094,59.0,0.55,41.9,32.4,13.7,0.63,318,18.5,Stable
RS034,WT,F,43,169,0.69,0.70,41,4548,55.7,0.50,45.4,37.6,15.0,0.73,309,20.2,Improved
RS035,WT,M,47,197,0.61,0.63,35,5152,58.1,0.53,42.8,34.5,14.2,0.67,315,19.0,Stable
RS036,WT,F,44,174,0.65,0.66,38,4620,56.0,0.51,44.8,36.1,14.7,0.70,312,19.6,Stable
RS037,WT,M,45,186,0.57,0.59,30,5227,59.3,0.55,41.5,31.8,13.5,0.62,319,18.3,Worsened
RS038,WT,F,46,176,0.70,0.71,42,4492,55.2,0.50,45.8,38.0,15.1,0.74,308,20.4,Improved
RS039,WT,M,44,183,0.59,0.61,32,5010,57.5,0.54,42.2,33.1,13.9,0.65,317,18.8,Stable
RS040,WT,F,45,171,0.67,0.68,40,4681,56.3,0.51,44.5,37.2,14.9,0.72,310,20.0,Improved
RS041,WT,M,46,191,0.58,0.60,31,5106,58.8,0.55,41.8,32.7,13.8,0.64,318,18.6,Stable
RS042,WT,F,43,168,0.68,0.69,41,4562,55.5,0.50,45.2,37.8,15.0,0.73,309,20.1,Improved
RS043,WT,M,47,198,0.60,0.62,34,5170,58.0,0.53,42.9,34.2,14.1,0.67,315,19.1,Stable
RS044,WT,F,44,173,0.64,0.65,37,4634,56.1,0.51,44.7,35.9,14.7,0.70,312,19.7,Stable
RS045,WT,M,45,188,0.56,0.58,29,5241,59.5,0.55,41.4,31.5,13.4,0.61,320,18.2,Worsened
RS046,WT,F,46,177,0.69,0.70,42,4511,55.0,0.50,46.0,38.2,15.2,0.74,308,20.5,Improved
RS047,WT,M,44,185,0.59,0.61,33,4976,57.6,0.54,42.3,33.4,13.9,0.65,316,18.9,Stable
RS048,WT,F,45,170,0.66,0.67,39,4698,56.2,0.52,44.6,36.9,14.8,0.71,311,19.9,Stable
RS049,WT,M,46,192,0.57,0.59,30,5089,58.9,0.55,41.7,32.0,13.6,0.63,318,18.4,Stable
RS050,WT,F,43,167,0.70,0.71,43,4537,55.3,0.50,45.5,38.4,15.1,0.75,309,20.3,Improved
RS051,WT,M,47,196,0.61,0.63,35,5148,58.2,0.53,42.7,34.7,14.2,0.68,315,19.2,Improved
RS052,WT,F,44,172,0.65,0.66,38,4616,56.0,0.51,44.9,36.3,14.7,0.70,312,19.6,Stable
RS053,WT,M,45,187,0.58,0.60,32,5215,59.2,0.55,41.6,32.8,13.7,0.64,319,18.5,Stable
RS054,WT,F,46,175,0.68,0.69,41,4506,55.1,0.50,45.7,37.9,15.0,0.73,308,20.2,Improved
RS055,WT,M,44,182,0.60,0.62,34,4999,57.4,0.54,42.4,33.6,14.0,0.66,317,18.8,Stable
RS056,WT,F,45,171,0.67,0.68,40,4672,56.3,0.52,44.4,37.1,14.9,0.72,310,20.0,Improved
RS057,WT,M,46,189,0.57,0.59,31,5098,58.7,0.55,41.9,32.2,13.8,0.63,318,18.6,Stable
RS058,WT,F,43,168,0.69,0.70,42,4554,55.4,0.50,45.3,38.1,15.1,0.74,309,20.4,Improved
RS059,WT,M,47,197,0.61,0.63,35,5161,58.1,0.53,42.8,34.4,14.2,0.67,315,19.1,Improved
RS060,WT,F,44,173,0.64,0.65,37,4627,56.1,0.51,44.8,36.0,14.8,0.70,311,19.7,Stable
