Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Novel_Object_Discrimination_Index,YMaze_Alternation_pct,Grip_Strength_N,PPI_pct,Resting_Theta_Power_uV2,Hippocampal_Creatine_Signal_AU,Locomotor_Habituation_Slope,Pupillary_Dilation_pct,Future_Outcome_Category
R016,Slc6a8_Def,F,47,175,4594,18.0,0.48,0.52,57.0,5.6,40.3,13.5,0.75,-0.22,20.0,Stable
R017,Slc6a8_Def,M,44,189,4708,17.1,0.43,0.54,55.7,5.7,38.5,14.1,0.70,-0.19,19.3,Stable
R018,Slc6a8_Def,F,45,172,4386,14.8,0.37,0.43,52.1,5.2,35.9,15.1,0.63,-0.15,17.1,Worsened
R019,Slc6a8_Def,M,46,193,4926,20.5,0.53,0.59,60.7,6.1,43.2,12.7,0.80,-0.25,21.9,Improved
R020,Slc6a8_Def,F,43,167,4472,16.4,0.41,0.47,54.0,5.3,37.8,14.4,0.69,-0.18,18.5,Stable
R021,Slc6a8_Def,M,45,187,4615,18.9,0.45,0.56,58.1,5.9,41.5,13.0,0.77,-0.23,20.6,Stable
R022,Slc6a8_Def,F,44,170,4330,14.2,0.38,0.41,51.8,5.1,34.5,15.4,0.60,-0.13,16.5,Worsened
R023,Slc6a8_Def,M,47,198,5068,21.2,0.55,0.61,61.1,6.2,44.4,12.3,0.82,-0.26,22.3,Improved
R024,Slc6a8_Def,F,46,177,4551,17.5,0.44,0.50,55.4,5.6,39.4,13.8,0.73,-0.20,19.4,Stable
R025,Slc6a8_Def,M,43,181,4724,18.3,0.47,0.52,57.3,5.8,40.7,13.3,0.76,-0.21,20.2,Stable
R026,Slc6a8_Def,F,45,173,4405,15.1,0.39,0.44,52.9,5.3,36.2,14.7,0.65,-0.16,17.6,Worsened
R027,Slc6a8_Def,M,44,185,4950,20.8,0.54,0.58,60.0,6.0,42.8,12.8,0.81,-0.24,21.7,Improved
R028,Slc6a8_Def,F,47,176,4518,16.9,0.42,0.49,54.7,5.5,38.2,14.0,0.71,-0.19,18.8,Stable
R029,Slc6a8_Def,M,46,190,4855,19.6,0.49,0.57,58.9,5.9,41.9,13.1,0.78,-0.22,20.9,Stable
R030,Slc6a8_Def,F,43,169,4367,14.4,0.36,0.43,52.3,5.2,35.1,15.0,0.62,-0.14,16.9,Worsened
R031,WT,M,44,186,5015,19.7,0.50,0.58,60.6,6.0,43.6,12.2,0.94,-0.27,21.8,Improved
R032,WT,F,45,173,4628,16.5,0.46,0.50,56.2,5.6,40.8,13.5,0.86,-0.22,19.4,Stable
R033,WT,M,46,192,4804,18.8,0.49,0.54,58.0,5.9,42.7,12.6,0.98,-0.25,20.9,Stable
R034,WT,F,43,170,4489,15.8,0.42,0.47,54.1,5.4,38.6,14.2,0.82,-0.18,18.3,Stable
R035,WT,M,47,198,5160,21.5,0.57,0.62,62.7,6.2,45.1,11.9,1.01,-0.29,22.6,Improved
R036,WT,F,44,176,4542,17.0,0.45,0.49,55.3,5.5,39.9,13.8,0.88,-0.21,19.1,Stable
R037,WT,M,45,189,4893,19.2,0.51,0.56,59.1,6.0,43.4,12.4,0.96,-0.26,21.2,Improved
R038,WT,F,46,178,4416,14.9,0.40,0.45,53.0,5.3,37.4,14.5,0.79,-0.16,17.4,Worsened
R039,WT,M,43,184,4720,18.1,0.47,0.53,57.2,5.8,41.6,12.9,0.92,-0.23,20.0,Stable
R040,WT,F,47,175,4599,16.2,0.44,0.48,55.0,5.5,39.1,13.9,0.85,-0.19,18.7,Stable
R041,WT,M,44,191,5078,20.9,0.55,0.60,61.4,6.1,44.7,12.1,1.03,-0.28,22.2,Improved
R042,WT,F,45,171,4468,15.4,0.41,0.46,53.6,5.4,38.1,14.3,0.81,-0.17,17.8,Worsened
R043,WT,M,46,195,4956,19.9,0.52,0.57,59.9,6.0,43.9,12.3,0.99,-0.27,21.5,Improved
R044,WT,F,43,169,4521,16.7,0.43,0.49,55.8,5.5,39.7,13.7,0.87,-0.20,18.9,Stable
R045,WT,M,47,200,5235,22.1,0.59,0.63,63.1,6.3,45.6,11.8,1.05,-0.30,22.9,Improved
R046,WT,F,44,174,4587,17.4,0.46,0.51,56.7,5.6,40.5,13.3,0.90,-0.22,19.6,Stable
R047,WT,M,45,188,4840,18.5,0.48,0.55,58.7,5.9,42.3,12.7,0.95,-0.24,20.7,Stable
R048,WT,F,46,177,4433,15.1,0.39,0.44,52.8,5.3,37.0,14.6,0.78,-0.15,17.2,Worsened
R049,WT,M,43,183,4994,20.3,0.54,0.59,60.9,6.1,44.2,12.0,1.00,-0.28,22.0,Improved
R050,WT,F,47,176,4605,16.9,0.45,0.50,55.9,5.6,40.1,13.6,0.89,-0.21,19.0,Stable
R051,WT,M,44,190,4766,18.7,0.50,0.56,58.5,5.9,42.9,12.5,0.97,-0.25,21.0,Improved
R052,WT,F,45,172,4498,15.9,0.42,0.47,54.3,5.4,38.8,14.1,0.83,-0.18,18.4,Stable
R053,WT,M,46,196,5122,21.0,0.56,0.61,61.9,6.2,45.0,11.9,1.02,-0.29,22.4,Improved
R054,WT,F,43,168,4451,15.3,0.40,0.45,53.4,5.3,37.7,14.4,0.80,-0.16,17.6,Worsened
R055,WT,M,47,199,4908,19.4,0.51,0.58,59.4,6.0,43.5,12.2,0.98,-0.26,21.3,Stable
R056,WT,F,44,175,4576,16.6,0.44,0.49,55.5,5.5,39.6,13.8,0.86,-0.20,18.8,Stable
R057,WT,M,45,187,5039,20.6,0.55,0.60,61.2,6.1,44.4,12.1,1.01,-0.28,22.1,Improved
R058,WT,F,46,179,4512,16.1,0.43,0.48,54.9,5.4,39.0,14.0,0.84,-0.19,18.5,Stable
R059,WT,M,43,185,4783,18.9,0.49,0.55,58.3,5.9,42.1,12.6,0.93,-0.24,20.8,Stable
R060,WT,F,47,174,4440,14.7,0.38,0.44,52.6,5.2,36.8,14.7,0.77,-0.15,17.0,Worsened
