Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Novel_Object_Discrimination_Index,Self_Grooming_s,PPI_pct,Resting_BetaPower_uV2,Cortical_EI_Index,Synaptic_PSD95_AU,Pupillary_Dilation_pct,Future_Outcome_Binary
PT021,Pten_cHet,M,60,27.0,5387,15.6,0.44,0.55,74,38.1,15.1,0.61,0.88,20.0,Vulnerable
PT022,Pten_cHet,F,58,24.1,4862,20.3,0.56,0.63,57,43.5,13.1,0.56,0.78,23.3,Resilient
PT023,Pten_cHet,M,62,26.7,5280,16.0,0.45,0.57,72,39.0,14.5,0.60,0.86,20.4,Vulnerable
PT024,Pten_cHet,F,59,23.6,5011,18.8,0.52,0.60,62,41.6,13.6,0.58,0.81,22.4,Resilient
PT025,Pten_cHet,M,57,27.3,5554,14.3,0.40,0.52,81,36.2,15.8,0.64,0.92,19.3,Vulnerable
PT026,Pten_cHet,F,60,24.3,4837,19.9,0.55,0.62,59,42.8,13.3,0.57,0.79,23.0,Resilient
PT027,Pten_cHet,M,61,26.5,5302,16.3,0.46,0.56,73,38.7,14.7,0.61,0.87,20.7,Vulnerable
PT028,Pten_cHet,F,58,23.7,4975,19.2,0.53,0.61,60,41.8,13.7,0.58,0.82,22.7,Resilient
PT029,Pten_cHet,M,59,27.1,5438,15.2,0.43,0.54,76,37.5,15.2,0.62,0.89,19.8,Vulnerable
PT030,Pten_cHet,F,62,24.5,4903,19.7,0.54,0.62,58,42.5,13.4,0.57,0.80,22.9,Resilient
PT031,WT,M,59,25.9,5126,17.2,0.50,0.59,65,41.5,13.9,0.58,0.82,21.9,Resilient
PT032,WT,F,57,23.1,4874,19.6,0.56,0.62,56,43.1,13.2,0.56,0.78,22.9,Resilient
PT033,WT,M,61,26.7,5251,16.4,0.47,0.57,70,39.7,14.5,0.60,0.86,20.8,Vulnerable
PT034,WT,F,60,24.0,4792,20.4,0.58,0.63,54,44.0,12.9,0.55,0.76,23.6,Resilient
PT035,WT,M,58,26.2,5189,17.0,0.49,0.58,67,40.8,14.0,0.59,0.83,21.5,Resilient
PT036,WT,F,62,24.7,4921,18.8,0.54,0.60,59,42.2,13.6,0.57,0.80,22.4,Resilient
PT037,WT,M,57,25.6,5335,15.7,0.45,0.55,73,38.6,15.1,0.62,0.89,20.1,Vulnerable
PT038,WT,F,61,23.8,4856,19.9,0.57,0.62,57,43.4,13.1,0.56,0.77,23.1,Resilient
PT039,WT,M,60,26.4,5210,16.8,0.48,0.57,69,40.1,14.3,0.60,0.84,21.0,Resilient
PT040,WT,F,58,23.5,4907,19.1,0.55,0.61,58,42.5,13.5,0.57,0.79,22.6,Resilient
PT041,WT,M,62,26.9,5371,15.1,0.43,0.54,76,37.9,15.4,0.63,0.90,19.6,Vulnerable
PT042,WT,F,59,24.2,4829,20.2,0.58,0.63,55,43.8,13.0,0.55,0.76,23.4,Resilient
PT043,WT,M,57,25.8,5168,17.4,0.50,0.59,64,41.7,13.8,0.58,0.81,22.0,Resilient
PT044,WT,F,60,23.6,4888,19.4,0.56,0.61,57,42.9,13.3,0.56,0.78,22.8,Resilient
PT045,WT,M,61,26.5,5296,16.0,0.46,0.56,71,39.2,14.8,0.61,0.87,20.5,Vulnerable
PT046,WT,F,58,23.9,4946,18.7,0.53,0.60,60,42.0,13.7,0.57,0.80,22.3,Resilient
PT047,WT,M,59,26.8,5227,16.9,0.49,0.58,68,40.4,14.2,0.59,0.83,21.3,Resilient
PT048,WT,F,62,24.4,4869,20.1,0.57,0.62,56,43.3,13.2,0.56,0.77,23.2,Resilient
PT049,WT,M,57,25.7,5349,15.5,0.45,0.55,72,38.8,15.0,0.62,0.88,20.2,Vulnerable
PT050,WT,F,60,23.4,4912,19.0,0.54,0.60,59,42.4,13.6,0.57,0.79,22.5,Resilient
PT051,WT,M,61,26.6,5180,17.1,0.50,0.58,66,41.2,13.9,0.58,0.82,21.8,Resilient
PT052,WT,F,58,23.2,4879,19.7,0.56,0.62,55,43.0,13.2,0.56,0.78,22.9,Resilient
PT053,WT,M,59,26.3,5273,16.2,0.47,0.57,70,39.5,14.6,0.60,0.85,20.7,Vulnerable
PT054,WT,F,62,24.6,4840,20.0,0.57,0.63,56,43.5,13.1,0.56,0.77,23.3,Resilient
PT055,WT,M,57,25.5,5204,17.3,0.49,0.58,67,40.9,14.0,0.59,0.83,21.6,Resilient
PT056,WT,F,60,23.7,4895,19.2,0.55,0.61,58,42.7,13.4,0.57,0.79,22.7,Resilient
PT057,WT,M,61,26.9,5360,15.4,0.44,0.55,74,38.3,15.2,0.62,0.89,19.9,Vulnerable
PT058,WT,F,58,23.8,4931,18.9,0.54,0.60,59,42.1,13.6,0.57,0.80,22.4,Resilient
PT059,WT,M,59,26.4,5241,16.7,0.48,0.57,69,40.0,14.4,0.60,0.84,21.1,Resilient
PT060,WT,F,62,24.5,4858,20.3,0.58,0.63,55,43.7,13.0,0.55,0.76,23.5,Resilient
