Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Marble_Bury_Count,Rotarod_Latency_s,PPI_pct,Novel_Object_Discrimination_Index,Resting_Gamma_Power_uV2,Theta_Gamma_Coupling_Index,Sleep_Bout_Length_min,Pupillary_Dilation_pct,Future_Outcome_Category
M041,WT,F,56,25.6,5138,22.0,0.44,10,69.5,34.8,0.69,16.6,0.31,6.9,19.9,Improved
M042,WT,F,66,23.6,5136,11.4,0.98,12,95.4,50.9,0.73,16.7,0.47,10.4,19.0,Improved
M043,WT,M,58,26.2,4914,21.4,0.83,11,71.3,43.9,0.55,20.4,0.59,11.4,20.0,Improved
M044,WT,F,56,26.9,6275,21.0,0.6,14,76.4,51.9,0.52,12.1,0.56,9.6,26.7,Stable
M045,WT,M,64,27.5,4543,9.2,0.28,12,64.4,55.1,0.79,14.1,0.67,9.4,23.4,Worsened
M046,WT,M,62,29.2,4665,21.2,0.52,10,91.5,46.6,0.6,17.0,0.58,6.4,21.0,Improved
M047,WT,F,68,23.4,5489,11.8,0.86,9,80.8,55.8,0.59,16.6,0.4,7.9,12.9,Improved
M048,WT,F,58,26.7,5389,22.4,0.42,7,75.0,50.2,0.66,14.9,0.56,8.7,18.6,Improved
M049,WT,M,70,26.4,5363,25.9,0.62,13,72.9,62.6,0.32,11.6,0.39,12.1,20.2,Worsened
M050,WT,F,64,22.5,5476,18.7,0.48,5,65.5,46.9,0.65,15.1,0.48,5.6,18.9,Worsened
M051,WT,M,68,27.6,5538,15.0,0.42,14,87.3,39.3,0.22,14.8,0.56,11.1,15.9,Worsened
M052,WT,F,68,24.0,5770,12.6,0.58,7,86.0,31.0,0.66,13.5,0.48,10.0,23.5,Worsened
M053,WT,F,68,26.6,5596,16.8,0.85,11,101.4,39.7,0.5,18.5,0.72,10.2,22.4,Improved
M054,WT,M,60,25.1,5110,25.4,0.27,9,53.3,46.0,0.72,11.3,0.46,11.5,18.3,Worsened
M055,WT,M,60,25.1,4001,21.9,0.47,14,95.0,39.1,0.54,17.2,0.51,9.5,11.8,Improved
M056,WT,M,62,25.9,3843,15.2,0.68,17,76.4,33.0,0.89,15.4,0.47,7.0,14.5,Improved
