Subject_ID,Group,Age_Stage,ISOI_FrontoParietal_FC,ISOI_Interhemispheric_Visual_FC,ISOI_Association_Modularity,ISOI_SomatosensoryAssociation_Coupling,Ca_Prefrontal_Synchrony,Ca_LongRange_Correlation,Ca_Network_Burst_Probability,Ca_SeededConnectivity_M1_PFC,PV_CellDensity_per_mm2,Synaptophysin_Intensity_AU,Microglia_Load_pctArea,Social_Interaction_Index,OpenField_Distance_m,Rotarod_Latency_s,Group_Target,Future_Outcome_Category
M28,CTD,Juvenile,0.41,0.45,0.38,0.37,0.54,0.40,0.25,0.32,114,0.90,4.1,0.61,24.4,69,CTD,Stable
M29,CTD,Juvenile,0.36,0.40,0.41,0.33,0.49,0.35,0.28,0.27,106,0.84,4.9,0.57,26.0,66,CTD,Variable
M30,CTD,Juvenile,0.33,0.37,0.44,0.30,0.45,0.32,0.31,0.24,100,0.78,5.5,0.53,27.8,62,CTD,Persistent
M31,CTD,Adolescent,0.40,0.44,0.38,0.36,0.53,0.39,0.25,0.31,113,0.89,4.2,0.60,24.7,68,CTD,Stable
M32,CTD,Adolescent,0.35,0.39,0.42,0.32,0.48,0.34,0.29,0.26,104,0.82,5.1,0.56,26.4,65,CTD,Variable
M33,CTD,Adolescent,0.38,0.42,0.40,0.34,0.51,0.37,0.27,0.29,110,0.87,4.5,0.59,25.0,67,CTD,Stable
M34,CTD,Adolescent,0.32,0.36,0.45,0.29,0.44,0.31,0.32,0.23,98,0.76,5.7,0.52,28.1,61,CTD,Persistent
M35,CTD,Adolescent,0.41,0.45,0.37,0.38,0.54,0.40,0.24,0.32,115,0.91,4.0,0.62,24.0,70,CTD,Stable
M36,CTD,Adolescent,0.36,0.40,0.41,0.33,0.49,0.35,0.28,0.27,105,0.83,5.0,0.57,26.2,66,CTD,Variable
M37,CTD,Adult,0.39,0.43,0.39,0.35,0.52,0.38,0.26,0.30,111,0.88,4.4,0.60,24.9,68,CTD,Stable
M38,CTD,Adult,0.34,0.38,0.43,0.31,0.46,0.33,0.30,0.25,101,0.79,5.4,0.54,27.3,63,CTD,Persistent
M39,CTD,Adult,0.41,0.45,0.38,0.37,0.54,0.40,0.25,0.32,114,0.90,4.1,0.61,24.5,69,CTD,Stable
M40,CTD,Adult,0.37,0.41,0.40,0.34,0.50,0.36,0.27,0.28,107,0.85,4.8,0.58,25.8,67,CTD,Variable
M41,CTD,Adult,0.33,0.37,0.44,0.30,0.45,0.32,0.31,0.24,99,0.77,5.6,0.53,27.9,62,CTD,Persistent
M42,CTD,Adult,0.40,0.44,0.39,0.36,0.53,0.39,0.25,0.31,112,0.89,4.3,0.60,24.6,68,CTD,Stable
M43,CTD,Adult,0.35,0.39,0.42,0.32,0.48,0.34,0.29,0.26,103,0.81,5.2,0.56,26.5,65,CTD,Variable
M44,CTD,Adult,0.32,0.36,0.45,0.29,0.44,0.31,0.32,0.23,97,0.75,5.8,0.52,28.3,61,CTD,Persistent
M45,CTD,Adult,0.38,0.42,0.40,0.34,0.51,0.37,0.27,0.29,109,0.86,4.6,0.59,25.1,67,CTD,Stable
M46,CTD,Adult,0.36,0.40,0.41,0.33,0.49,0.35,0.28,0.27,105,0.83,5.0,0.57,26.1,66,CTD,Variable
M47,CTD,Adult,0.41,0.45,0.37,0.38,0.54,0.40,0.24,0.32,115,0.91,4.0,0.62,24.1,70,CTD,Stable
M48,CTD,Adult,0.34,0.38,0.43,0.31,0.46,0.33,0.30,0.25,102,0.80,5.3,0.54,27.4,63,CTD,Persistent
