Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Novel_Object_Discrimination_Index,PPI_pct,Resting_Gamma_Power_uV2,Auditory_N1_Amplitude_uV,Cortical_Connectivity_Index,Pupillary_Dilation_pct,Locomotor_Habituation_Slope,Future_Outcome_Binary
SG039,WT,M,56,24.9,5299,16.9,0.50,0.58,39.0,16.4,-5.3,0.46,21.5,-0.20,Resilient
SG040,WT,F,63,24.0,4710,22.0,0.62,0.67,45.5,14.2,-6.4,0.53,24.2,-0.26,Resilient
SG041,WT,M,58,25.4,5382,16.3,0.49,0.57,37.8,16.8,-5.0,0.45,21.0,-0.19,Resilient
SG042,WT,F,59,22.9,4898,19.6,0.56,0.62,43.0,15.3,-5.8,0.49,23.0,-0.23,Resilient
SG043,WT,M,61,26.0,5527,14.9,0.44,0.52,35.0,18.3,-4.4,0.41,19.4,-0.16,Vulnerable
SG044,WT,F,57,22.5,4971,18.8,0.54,0.60,41.6,15.6,-5.6,0.48,22.7,-0.22,Resilient
SG045,WT,M,60,26.1,5445,15.7,0.47,0.55,36.6,17.2,-4.8,0.44,20.5,-0.18,Vulnerable
SG046,WT,F,58,23.0,4856,20.4,0.58,0.63,43.8,15.0,-6.0,0.50,23.5,-0.24,Resilient
SG047,WT,M,62,25.7,5318,17.5,0.52,0.59,40.2,16.1,-5.4,0.47,21.9,-0.21,Resilient
SG048,WT,F,60,23.3,4788,21.1,0.60,0.65,44.4,14.6,-6.2,0.51,23.9,-0.25,Resilient
SG049,WT,M,56,24.7,5401,16.1,0.48,0.56,37.3,17.0,-5.0,0.44,20.8,-0.19,Vulnerable
SG050,WT,F,63,24.1,4701,22.2,0.62,0.67,45.7,14.1,-6.4,0.53,24.3,-0.26,Resilient
SG051,WT,M,58,25.3,5272,17.0,0.50,0.58,39.4,16.3,-5.3,0.46,21.6,-0.20,Resilient
SG052,WT,F,59,22.8,4910,19.4,0.55,0.61,42.6,15.4,-5.7,0.48,22.9,-0.22,Resilient
SG053,WT,M,61,26.2,5473,15.3,0.46,0.54,35.8,17.9,-4.7,0.43,20.0,-0.18,Vulnerable
SG054,WT,F,57,22.6,4985,18.6,0.54,0.60,41.9,15.5,-5.6,0.48,22.8,-0.22,Resilient
SG055,WT,M,60,25.8,5355,16.7,0.49,0.57,38.4,16.6,-5.2,0.45,21.3,-0.20,Resilient
SG056,WT,F,58,23.1,4839,20.2,0.58,0.63,43.7,15.0,-6.1,0.50,23.6,-0.24,Resilient
SG057,WT,M,62,25.5,5506,15.1,0.45,0.53,35.4,18.1,-4.5,0.42,19.6,-0.17,Vulnerable
SG058,WT,F,60,23.5,4769,21.0,0.60,0.65,44.6,14.5,-6.2,0.51,24.0,-0.25,Resilient
SG059,WT,M,56,24.8,5291,16.8,0.50,0.58,39.1,16.4,-5.3,0.46,21.7,-0.20,Resilient
SG060,WT,F,63,24.2,4694,22.1,0.62,0.67,45.8,14.1,-6.5,0.53,24.4,-0.26,Resilient
