Subject_ID,Group,Sex,Age_PND,Body_Weight_g,OpenField_Distance_cm,Center_Time_pct,Social_Interaction_Index,Rotarod_Latency_s,Novel_Object_Discrimination_Index,Nest_Building_Score,PPI_pct,Resting_Delta_Power_uV2,Cortical_Synchrony_Index,Respiratory_Irregularity_Index,Pupillary_Dilation_pct,Future_Outcome_Category
MX031,WT,F,58,22.8,4821,17.3,0.52,79.0,0.57,3,41.1,17.2,0.58,0.27,19.9,Improved
MX032,WT,F,60,22.1,4657,15.8,0.48,74.4,0.53,3,39.0,18.4,0.62,0.31,18.6,Stable
MX033,WT,M,59,26.3,4974,18.6,0.55,83.8,0.60,4,42.7,16.5,0.56,0.25,20.8,Improved
MX034,WT,F,62,23.4,4529,14.5,0.45,70.8,0.50,3,37.8,19.6,0.66,0.35,17.7,Stable
MX035,WT,F,57,22.9,5106,20.2,0.58,86.7,0.63,4,43.9,15.9,0.53,0.23,21.4,Improved
MX036,WT,M,61,27.0,4780,17.9,0.51,80.3,0.56,3,41.8,17.0,0.57,0.26,20.2,Stable
MX037,WT,F,59,21.8,4442,13.4,0.41,68.0,0.47,2,36.7,20.3,0.69,0.38,16.9,Worsened
MX038,WT,F,63,23.7,4611,15.2,0.47,72.9,0.51,3,38.8,18.8,0.63,0.32,18.1,Stable
MX039,WT,M,58,25.7,5018,19.4,0.56,84.6,0.61,4,42.9,16.2,0.55,0.24,21.0,Improved
MX040,WT,F,60,22.4,4380,12.7,0.39,66.1,0.45,2,35.5,21.0,0.71,0.41,16.4,Worsened
MX041,WT,F,57,22.2,4738,16.6,0.50,76.2,0.54,3,39.7,17.9,0.60,0.28,19.1,Stable
MX042,WT,M,62,26.8,4882,18.1,0.53,81.4,0.58,4,41.6,16.8,0.56,0.25,20.4,Improved
MX043,WT,F,59,23.0,4497,14.1,0.44,69.6,0.49,3,37.4,19.2,0.64,0.34,17.5,Stable
MX044,WT,F,61,23.5,4584,15.0,0.46,71.7,0.50,3,38.3,18.6,0.62,0.31,18.0,Stable
MX045,WT,M,58,26.1,5072,19.8,0.57,85.1,0.62,4,43.2,16.1,0.54,0.23,21.2,Improved
MX046,WT,F,63,22.6,4344,12.3,0.38,64.9,0.44,2,34.9,21.5,0.72,0.42,15.9,Worsened
MX047,WT,F,60,22.7,4695,16.0,0.49,75.5,0.53,3,39.4,18.1,0.61,0.29,18.8,Stable
MX048,WT,M,59,26.5,4948,18.7,0.54,82.9,0.59,4,42.3,16.6,0.55,0.24,20.6,Improved
MX049,WT,F,57,21.9,4458,13.0,0.40,67.2,0.46,2,36.1,20.6,0.70,0.39,16.6,Worsened
MX050,WT,F,62,23.2,4568,14.9,0.47,72.1,0.51,3,38.6,18.9,0.63,0.32,17.9,Stable
MX051,WT,M,60,25.9,4901,18.3,0.53,81.0,0.57,3,41.4,16.9,0.56,0.25,20.1,Improved
MX052,WT,F,58,22.5,4391,12.9,0.41,66.8,0.46,2,35.8,20.8,0.69,0.40,16.7,Worsened
MX053,WT,F,61,23.1,4712,16.4,0.50,76.9,0.54,3,39.9,17.8,0.60,0.28,19.0,Stable
MX054,WT,M,59,26.7,5033,19.2,0.56,83.5,0.60,4,42.5,16.3,0.54,0.24,20.9,Improved
MX055,WT,F,63,22.3,4332,12.4,0.37,65.3,0.44,2,35.0,21.3,0.72,0.41,16.0,Worsened
MX056,WT,F,60,22.9,4595,15.3,0.48,73.4,0.52,3,38.9,18.5,0.62,0.30,18.3,Stable
MX057,WT,M,58,26.2,4960,18.9,0.55,82.4,0.59,4,42.1,16.4,0.55,0.24,20.7,Improved
MX058,WT,F,61,23.3,4483,14.2,0.45,70.1,0.49,3,37.6,19.4,0.65,0.34,17.6,Stable
MX059,WT,F,57,22.0,4681,16.1,0.49,75.8,0.53,3,39.5,18.0,0.61,0.29,18.9,Stable
MX060,WT,M,62,26.9,4916,18.5,0.54,81.8,0.58,4,41.9,16.7,0.56,0.25,20.5,Improved
