Subject_ID,Group,Age_Stage,ISOI_FrontoParietal_FC,ISOI_Interhemispheric_Somatomotor_FC,ISOI_DefaultLike_Modularity,ISOI_SensoryAssociation_Coupling,Ca_PrefrontalEnsemble_Synchrony,Ca_Somatomotor_Coactivity_Rate,Ca_LongRange_Correlation,Ca_Network_Burst_Probability,Ca_SeededConnectivity_V1_PFC,Social_Interaction_Index,OpenField_Distance_m,Rotarod_Latency_s,Group_Target,Future_Outcome_Category
M28,CDD,Juvenile,0.41,0.49,0.38,0.37,0.54,11.6,0.39,0.24,0.32,0.61,24.3,71,CDD,Stable
M29,CDD,Juvenile,0.35,0.43,0.42,0.32,0.48,10.2,0.33,0.28,0.26,0.57,26.1,67,CDD,Variable
M30,CDD,Juvenile,0.31,0.39,0.44,0.29,0.44,9.3,0.30,0.31,0.23,0.53,27.8,63,CDD,Persistent
M31,CDD,Adolescent,0.40,0.48,0.38,0.36,0.53,11.3,0.38,0.24,0.31,0.60,24.8,70,CDD,Stable
M32,CDD,Adolescent,0.34,0.42,0.42,0.31,0.47,9.9,0.32,0.29,0.25,0.56,26.5,66,CDD,Variable
M33,CDD,Adolescent,0.38,0.46,0.40,0.34,0.51,10.8,0.35,0.26,0.28,0.59,25.2,68,CDD,Stable
M34,CDD,Adolescent,0.30,0.38,0.45,0.28,0.43,9.1,0.29,0.32,0.22,0.52,28.0,62,CDD,Persistent
M35,CDD,Adolescent,0.42,0.50,0.37,0.38,0.55,11.8,0.39,0.23,0.33,0.62,24.0,71,CDD,Stable
M36,CDD,Adolescent,0.35,0.43,0.41,0.32,0.48,10.1,0.33,0.28,0.26,0.57,26.3,67,CDD,Variable
M37,CDD,Adult,0.39,0.47,0.39,0.35,0.52,11.1,0.36,0.25,0.29,0.60,25.1,69,CDD,Stable
M38,CDD,Adult,0.32,0.40,0.43,0.30,0.45,9.5,0.31,0.30,0.24,0.54,27.4,64,CDD,Persistent
M39,CDD,Adult,0.41,0.49,0.38,0.37,0.54,11.5,0.38,0.24,0.32,0.61,24.5,70,CDD,Stable
M40,CDD,Adult,0.36,0.44,0.41,0.33,0.49,10.4,0.34,0.27,0.27,0.58,25.9,68,CDD,Variable
M41,CDD,Adult,0.31,0.39,0.44,0.29,0.44,9.2,0.30,0.31,0.23,0.53,27.9,63,CDD,Persistent
M42,CDD,Adult,0.40,0.48,0.39,0.36,0.53,11.2,0.37,0.24,0.30,0.60,24.7,69,CDD,Stable
M43,CDD,Adult,0.34,0.42,0.42,0.31,0.47,9.8,0.32,0.29,0.25,0.56,26.6,66,CDD,Variable
M44,CDD,Adult,0.30,0.38,0.45,0.28,0.43,9.0,0.29,0.32,0.22,0.52,28.2,62,CDD,Persistent
M45,CDD,Adult,0.38,0.46,0.40,0.34,0.51,10.7,0.35,0.26,0.28,0.59,25.3,68,CDD,Stable
M46,CDD,Adult,0.35,0.43,0.41,0.32,0.48,10.0,0.33,0.28,0.26,0.57,26.2,67,CDD,Variable
M47,CDD,Adult,0.42,0.50,0.37,0.38,0.55,11.9,0.39,0.23,0.33,0.62,24.1,71,CDD,Stable
M48,CDD,Adult,0.32,0.40,0.43,0.30,0.45,9.4,0.31,0.30,0.24,0.54,27.5,64,CDD,Persistent
