Subject_ID,Group,Sex,Age_PND,Body_Weight_g,Attention_HitRate_pct,Attention_Omission_pct,Premature_Response_Count,Social_Interaction_Index,YMaze_Alternation_pct,Novel_Object_Location_Index,OpenField_Distance_cm,Plasma_Norepinephrine_pg_mL,Frontal_Theta_Beta_Ratio,Vigilance_Evoked_HbO_AU,Cognitive_P300_Latency_ms,Pupillary_Dilation_pct,Future_Outcome_Category
AD022,SHR,F,44,169,79.5,9.9,13,0.60,55.7,0.50,4819,287,2.97,0.49,304,22.4,Improved
AD023,SHR,M,45,186,69.6,15.8,21,0.53,58.9,0.55,5405,337,3.53,0.39,313,25.1,Worsened
AD024,SHR,F,46,174,76.6,11.7,16,0.58,56.1,0.51,4901,299,3.14,0.45,307,23.2,Stable
AD025,SHR,M,47,192,73.4,13.7,18,0.56,57.5,0.53,5209,314,3.31,0.42,309,24.1,Stable
AD026,SHR,F,43,167,78.2,10.7,14,0.59,55.8,0.50,4831,290,3.00,0.48,305,22.7,Improved
AD027,SHR,M,44,185,68.5,16.5,22,0.52,59.2,0.56,5474,344,3.64,0.38,314,25.6,Worsened
AD028,SHR,F,45,172,75.4,12.5,17,0.57,56.0,0.52,4914,298,3.13,0.46,307,23.1,Stable
AD029,SHR,M,46,188,70.7,15.0,20,0.54,58.3,0.54,5326,327,3.45,0.40,312,24.8,Worsened
AD030,SHR,F,47,176,77.6,11.1,15,0.58,55.9,0.51,4868,294,3.07,0.47,306,22.8,Stable
AD031,WKY,M,43,183,85.9,7.1,9,0.57,58.0,0.54,5142,246,2.56,0.55,309,18.8,Improved
AD032,WKY,F,44,171,88.3,5.8,7,0.60,56.7,0.52,4879,232,2.41,0.58,306,17.9,Stable
AD033,WKY,M,45,190,84.6,7.9,10,0.55,58.9,0.55,5207,251,2.62,0.53,310,19.1,Stable
AD034,WKY,F,46,175,89.1,5.4,6,0.58,55.8,0.51,4816,228,2.36,0.59,305,17.6,Improved
AD035,WKY,M,47,195,86.8,6.8,8,0.56,57.5,0.53,5098,242,2.51,0.56,308,18.5,Stable
AD036,WKY,F,43,168,90.0,5.0,5,0.59,56.0,0.50,4782,225,2.31,0.60,304,17.4,Improved
AD037,WKY,M,44,186,83.7,8.3,11,0.54,59.2,0.56,5235,255,2.66,0.52,311,19.4,Worsened
AD038,WKY,F,45,173,87.5,6.1,7,0.58,55.9,0.51,4855,231,2.39,0.58,306,17.8,Stable
AD039,WKY,M,46,191,85.2,7.4,9,0.55,58.4,0.54,5168,248,2.58,0.54,309,18.9,Stable
AD040,WKY,F,47,176,88.8,5.6,6,0.59,56.1,0.52,4824,229,2.35,0.59,305,17.7,Improved
AD041,WKY,M,43,184,86.1,7.0,8,0.56,57.8,0.53,5129,244,2.54,0.55,308,18.7,Stable
AD042,WKY,F,44,170,89.4,5.2,5,0.60,55.7,0.50,4791,226,2.32,0.60,304,17.5,Improved
AD043,WKY,M,45,188,84.1,8.1,10,0.54,59.0,0.55,5219,253,2.64,0.53,310,19.3,Worsened
AD044,WKY,F,46,174,87.9,5.9,7,0.58,56.0,0.51,4840,230,2.38,0.58,306,17.8,Stable
AD045,WKY,M,47,196,86.5,6.9,8,0.56,57.4,0.53,5105,243,2.50,0.56,308,18.6,Stable
AD046,WKY,F,43,169,89.8,5.1,5,0.59,55.6,0.50,4775,224,2.30,0.60,304,17.3,Improved
AD047,WKY,M,44,187,83.9,8.2,11,0.54,59.1,0.56,5241,256,2.67,0.52,311,19.5,Worsened
AD048,WKY,F,45,172,87.2,6.2,7,0.58,55.9,0.51,4862,232,2.40,0.58,306,17.9,Stable
AD049,WKY,M,46,189,85.0,7.5,9,0.55,58.5,0.54,5176,247,2.57,0.54,309,18.8,Stable
AD050,WKY,F,47,175,88.6,5.7,6,0.59,56.2,0.52,4833,228,2.34,0.59,305,17.6,Improved
AD051,WKY,M,43,182,86.0,7.2,8,0.56,57.9,0.53,5136,245,2.55,0.55,308,18.7,Stable
AD052,WKY,F,44,171,89.2,5.3,5,0.60,55.8,0.50,4788,226,2.33,0.60,304,17.4,Improved
AD053,WKY,M,45,190,84.4,8.0,10,0.54,58.8,0.55,5201,252,2.63,0.53,310,19.2,Worsened
AD054,WKY,F,46,173,87.7,6.0,7,0.58,56.1,0.51,4850,231,2.39,0.58,306,17.8,Stable
AD055,WKY,M,47,194,86.6,6.7,8,0.56,57.6,0.53,5111,242,2.49,0.56,308,18.5,Stable
AD056,WKY,F,43,168,89.9,4.9,5,0.59,55.7,0.50,4771,223,2.29,0.61,304,17.2,Improved
AD057,WKY,M,44,185,83.8,8.4,11,0.54,59.3,0.56,5230,257,2.68,0.52,311,19.6,Worsened
AD058,WKY,F,45,172,87.3,6.1,7,0.58,55.9,0.51,4865,232,2.40,0.58,306,17.9,Stable
AD059,WKY,M,46,191,85.1,7.6,9,0.55,58.6,0.54,5180,248,2.58,0.54,309,18.9,Stable
AD060,WKY,F,47,176,88.7,5.5,6,0.59,56.0,0.52,4828,229,2.35,0.59,305,17.7,Improved
